Option_Simplified,Option_STD,COUNT_ALL
TEMPORARY SPARE TIRE,TEMPORARY SPARE TIRE,6588
(4) CHROME DOOR HANDLE INSERTS,(4) CHROME DOOR HANDLE INSERTS,2
DIAMOND WHITE METALLIC,DIAMOND WHITE METALLIC,7
SPORT PKG -INC: SPORT BODYSTYLING 19,SPT PKG -INC,5
(4) ILLUMINATED DOOR SILLS,(4) ILLUMINATED DOOR SILLS,9
BURL WALNUT INTERIOR WOOD TRIM,BURL WALNUT INTERIOR WOOD TRIM,3
PWR REAR SIDE WINDOW SUNSHADES,PWR REAR SIDE WINDOW SUNSHADES,7
PWR TILT/SLIDE TINTED GLASS PANORAMA SUN,PWR TILT/SLIDE TINTED GLASS PA,8
SPORT PKG PLUS ONE -INC: SPORT BODYSTY,SPT PKG + ONE -INC,6
DRIVER ASSISTANCE PKG -INC: ACTIVE BLIN,DRIVER ASSISTANCE PKG -INC,22
SPECIAL ORDER OPTION CHARGE,SPECIAL ORDER OPTION CHARGE,5
(4) LT245/75R17E ALL-TERRAIN OWL TIRES,(4) LT245/75R17E ALL-TERRAIN O,4
3.73 AXLE RATIO W/LIMITED SLIP REAR AXLE,3.73 AXLE RATIO,25
6.7L 32-VALVE PWR STROKE V8 DIESEL ENGIN,6.7L 32-VALVE PWR STROKE V8 DI,26
FX4 OFF ROAD PKG -INC: TRANSFER CASE &,FX4 OFF ROAD PKG -INC,23
DUAL REAR WHEELS,DUAL REAR WHEELS,150
PLATINUM -INC: SATIN CHROME GRILLE W/B,PLATINUM -INC,1
(4) LT265/70R17E ALL-TERRAIN OWL TIRES,(4) LT265/70R17E ALL-TERRAIN O,18
6 ANGULAR MOLDED BLACK STEP BARS,6 ANGULAR MOLDED BLACK STEP BA,14
XLT INTERIOR PKG -INC: 6-WAY PWR DRIVER,XLT INTERIOR PKG -INC,3
(5) LT245/75R17E ALL-SEASON BSW TIRES (,(5) LT245/75R17E ALL-SEASON BS,54
17 6-SPOKE CAST ALUMINUM WHEELS -INC,17 6-SPOKE CAST ALUMINUM WHEEL,12
XL DECOR PKG -INC: CHROME FRONT/REAR ST,XL DECOR PKG -INC,38
XL VALUE PKG -INC: AM/FM STEREO W/CD/MP,XL VALUE PKG -INC,62
(5) LT245/75R17E ALL-TERRAIN BSW TIRES,(5) LT245/75R17E ALL-TERRAIN B,28
SYNC VOICE ACTIVATED COMMUNICATIONS & EN,SYNC VOICE ACTIVATED COMMUNICA,30
(5) LT275/65R18E ALL-SEASON BSW TIRES (,(5) LT275/65R18E ALL-SEASON BS,6
RAPID-HEAT SUPPLEMENTAL CAB HEATER,RAPID-HEAT SUPPLEMENTAL CAB HE,1
XLT PREMIUM PKG -INC: 18 CHROME CLAD,XLT PREM PKG -INC,21
REVERSE VEHICLE AID SENSOR,REVERSE VEHICLE AID SENSOR,4
FX4 OFF ROAD PKG -INC: HILL DESCENT CON,FX4 OFF ROAD PKG -INC,4
TIRES - FRONT ALL-TERRAIN,TIRES - FRONT ALL-TERRAIN,934
TIRES - REAR ALL-TERRAIN,TIRES - REAR ALL-TERRAIN,934
STEEL HD VINYL 40/20/40 SPLIT BENCH FRO,STEEL HD VINYL 40/20/40 SPLIT ,20
EXTERIOR BACK-UP ALARM,EXTERIOR BACK-UP ALARM,2
PWR EQUIPMENT GROUP -INC: ACCESSORY DEL,PWR EQUIPMENT GROUP -INC,29
TRAILER BRAKE CONTROLLER,TRAILER BRAKE CONTROLLER,119
DUAL ALTERNATORS -INC: TOTAL OF 357-AMP,DUAL ALTERNATORS -INC,5
(7) LT245/75R17E ALL-TERRAIN BSW TIRES,(7) LT245/75R17E ALL-TERRAIN B,21
17 FORGED POLISHED ALUMINUM WHEELS -,17 FORGED POLISHED ALUMINUM WH,1
CHROME PKG -INC: CHROME EXHAUST TIP C,CHROME PKG -INC,13
GOOSENECK HITCH KIT,GOOSENECK HITCH KIT,8
XLT PREMIUM PKG -INC: 6-WAY PWR DRIVER,XLT PREM PKG -INC,3
AM/FM STEREO W/CD/MP3 PLAYER -INC: CLOC,AM/FM STEREO,1
BED MAT,BED MAT,9
CAMPER PKG -INC: EXTRA HEAVY SERVICE FR,CAMPER PKG -INC,2
(6) BOSTON ACOUSTICS SPEAKERS,(6) BOSTON ACOUSTICS SPEAKERS,1
27W LIMITED CUSTOMER PREFERRED ORDER SEL,27W LIM CUSTOMER PREFERRED ORD,2
3.6L VVT 24-VALVE V6 ENGINE (STD),3.6L VVT 24-VALVE V6 ENGINE (S,4
6D1 ORDER CODE,6D1 ORDER CODE,1
6-SPEED AUTOMATIC TRANSMISSION -INC: AU,6-SPEED AUTOMATIC TRANSMISSION,97
BLACK PWR RETRACTABLE HARD TOP -INC: TO,BLACK PWR RETRACTABLE HARD TOP,1
UCONNECT 730N -INC: AM/FM STEREO W/CD/D,UCONNECT 730N -INC,2
FRONT WHEEL DRIVE,FRONT WHEEL DRIVE,5938
CONVERTIBLE SOFT TOP,CONV SOFT TOP,377
(9) ALPINE SPEAKERS W/SUBWOOFER -INC: 5,(9) ALPINE SPEAKERS,3
1.4L I4 16V MULTI-AIR TURBO ENGINE -INC,1.4L I4 16V MULTI-AIR TURBO EN,15
17 X 7.5 ALUMINUM PAINTED WHEELS (,17 X 7.5 ALUMINUM PAINTED WHEE,1
6-SPEED DUAL DRY-CLUTCH AUTOMATIC TRANSM,6-SPEED DUAL DRY-CLUTCH AUTOMA,12
8.4 UCONNECT TOUCHSCREEN GROUP -INC:,8.4 UCONNECT TOUCHSCREEN GROUP,20
LED RACETRACK TAILLAMPS,LED RACETRACK TAILLAMPS,14
POPULAR EQUIPMENT GROUP -INC: 12V AUX P,POPULAR EQUIPMENT GROUP -INC,12
SIRIUS SATELLITE RADIO -INC: 1-YEAR TRI,SIRIUS SATELLITE RADIO -INC,22
UCONNECT VOICE COMMAND W/BLUETOOTH -INC,UCONNECT VOICE COMMAND,174
17 X 7.5 ALUMINUM POLISHED WHEELS,17 X 7.5 ALUMINUM POLISHED WHE,6
22L LIMITED CUSTOMER PREFERRED ORDER SEL,22L LIM CUSTOMER PREFERRED ORD,3
PITCH BLACK,PITCH BLACK,34
PREMIUM GROUP -INC: AUTO DUAL-ZONE AIR,PREM GROUP -INC,5
PWR EXPRESS OPEN/CLOSE SUNROOF -INC: OV,PWR EXPRESS OPEN/CLOSE SUN -IN,6
UCONNECT 8.4N -INC: GARMIN GPS NAVIGATI,UCONNECT 8.4N -INC,7
23L LIMITED CUSTOMER PREFERRED ORDER SEL,23L LIM CUSTOMER PREFERRED ORD,2
6-SPEED MANUAL TRANSMISSION (STD),6-SPEED MANUAL TRANSMISSION (S,46
HIGH-INTENSITY DISCHARGE BI-XENON HEADLA,HIGH-INTENSITY DISCHARGE BI-XE,1
REDLINE 2-COAT PEARL,REDLINE 2-COAT PEARL,32
TECHNOLOGY GROUP -INC: AUTO HIGH-BEAM H,TECH GROUP -INC,1
(9) AMPLIFIED SPEAKERS W/SUBWOOFER -INC,(9) AMPLIFIED SPEAKERS,1
29K CREW CUSTOMER PREFERRED ORDER SELECT,29K CREW CUSTOMER PREFERRED OR,2
3.6L VVT 24-VALVE V6 FLEX FUEL ENGINE (,3.6L VVT 24-VALVE V6 FLEX FUEL,44
6-SPEED AUTOMATIC TRANSMISSION W/OD (ST,6-SPEED AUTOMATIC TRANSMISSION,266
CREW VALUE PKG -INC: HARD DRIVE 6.5,CREW VALUE PKG -INC,1
DRIVER CONVENIENCE GROUP -INC: BLUETOOT,DRIVER CONVENIENCE GROUP -INC,1
ENTERTAINMENT GROUP 1 -INC: 2ND ROW OV,ENTERTAINMENT GROUP 1 -INC,1
SAFETY SPHERE GROUP -INC: AUTO HEADLAMP,SAFETY SPHERE GROUP -INC,2
SECURITY GROUP -INC: PWR LIFTGATE REMO,SECURITY GROUP -INC,2
STONE WHITE,STONE WHITE,40
POWER THIRD PASSENGER DOOR,POWER THIRD PASSENGER DOOR,134
POWER FOURTH PASSENGER DOOR,POWER FOURTH PASSENGER DOOR,133
17 X 8.0 POLISHED FORGED ALUMINUM W,17 X 8.0 POLISHED FORGED ALUMI,1
26G SLT CUSTOMER PREFERRED ORDER SELECTI,26G SLT CUSTOMER PREFERRED ORD,1
5.7L SMPI V8 HEMI ENGINE W/VARIABLE VALV,5.7L SMPI V8 HEMI ENGINE,60
BLACK PWR TRAILER TOW MIRRORS -INC: INT,BLACK PWR TRAILER TOW MIRRORS ,83
FRONT & REAR RUBBER FLOOR MATS,FRONT & REAR RUBBER FLOOR MATS,1
HD SNOW PLOW PREP GROUP -INC: 180-AMP A,HD SNOW PLOW PREP GROUP -INC,5
LT265/70R17E ON/OFF-ROAD OWL TIRES,LT265/70R17E ON/OFF-ROAD OWL T,33
LUXURY GROUP -INC: AUTO-DIMMING EXTERIO,LUX GROUP -INC,3
MONOTONE PAINT,MONOTONE PAINT,167
PARKSENSE REAR PARK ASSIST SYSTEM,PARKSENSE REAR PARK ASSIST SYS,13
PROTECTION GROUP -INC: TOW HOOKS TRANS,PROTECTION GROUP -INC,53
SECURITY ALARM,SECURITY ALARM,9
(9) SPEAKERS W/SUBWOOFER,(9) SPEAKERS,3
20 X 8 POLISHED ALUMINUM WHEELS,20 X 8 POLISHED ALUMINUM WHEEL,1
26E CREW CUSTOMER PREFERRED ORDER SELECT,26E CREW CUSTOMER PREFERRED OR,2
3.6L 24-VALVE V6 VVT FLEX FUEL ENGINE -,3.6L 24-VALVE V6 VVT FLEX FUEL,20
5-SPEED AUTOMATIC TRANSMISSION (STD),5-SPEED AUTOMATIC TRANSMISSION,113
CREW CONVENIENCE GROUP -INC: BLIND SPOT,CREW CONVENIENCE GROUP -INC,1
TIRES - FRONT ON/OFF ROAD,TIRES - FRONT ON/OFF ROAD,322
TIRES - REAR ON/OFF ROAD,TIRES - REAR ON/OFF ROAD,334
LUGGAGE RACK,LUGGAGE RACK,1062
[A93] VEHICLE ALARM IMPACT SENSOR,[A93] VEHICLE ALARM IMPACT SEN,1
[P01] PREMIUM PKG -INC: PWR SLIDING/TIL,[P01] PREM PKG -INC,2
[W92] 18 9-SPOKE ALUMINUM ALLOY WHEEL,[W92] 18 9-SPOKE ALUMINUM ALLO,2
ATHENS BLUE,ATHENS BLUE,1
STONE LEATHER SEAT TRIM,STONE LEATHER SEAT TRIM,1
[B10] FRONT/REAR SPLASH GUARDS,[B10] FRONT/REAR SPLASH GUARDS,1
[L93] 5-PIECE FLOOR/TRUNK MAT SET,[L93] 5-PIECE FLOOR/TRUNK MAT ,1
CHARCOAL SUEDE-TRICOT SEAT TRIM,CHARCOAL SUEDE-TRICOT SEAT TRI,1
ESPRESSO BLACK METALLIC,ESPRESSO BLACK METALLIC,1
CUSTOM CD/STEREO WITH USB AND AUX PORT,CUSTOM CD/STEREO WITH USB AND ,1
FRONT DISC/REAR DRUM BRAKES,FRONT DISC/REAR DRUM BRAKES,2115
WHEEL COVERS,WHEEL COVERS,1598
[B10] SPLASH GUARDS,[B10] SPLASH GUARDS,2
[B92] SPLASH GUARDS,[B92] SPLASH GUARDS,1
[L92] FRONT/REAR FLOOR MATS & CARGO PROT,[L92] FRONT/REAR FLOOR MATS & ,1
CAYENNE RED,CAYENNE RED,1
GRAY SEAT TRIM,GRAY SEAT TRIM,1
[L93] FRONT/REAR FLOOR MATS & CARGO MAT,[L93] FRONT/REAR FLOOR MATS & ,1
SILVER ICE METALLIC,SILVER ICE METALLIC,82
[H01] THEATER PKG -INC: DUAL 7 COLOR,[H01] THEATER PKG -INC,1
[L92] FLOOR MATS/TRUNK MAT,[L92] FLOOR MATS/TRUNK MAT,1
[P01] PREMIUM PKG -INC: DUAL PANEL MOO,[P01] PREM PKG -INC,1
[U02] PREMIUM TECH PKG -INC: HDD NAVIG,[U02] PREM TECH -INC,1
[X01] CLIMATE-CONTROLLED DRIVER SEAT,[X01] CLIMATE-CONTROLLED DRIVE,1
CHARCOAL LEATHER SEAT TRIM,CHARCOAL LEATHER SEAT TRIM,1
WINTER FROST PEARL,WINTER FROST PEARL,1
[P01] PREMIUM PKG -INC: CLIMATE-CONTROL,[P01] PREM PKG -INC,1
[W92] 18 SILVER-PAINTED ALUMINUM WHEE,[W92] 18 SILVER-PAINTED ALUMIN,1
BLUE SLATE,BLUE SLATE,1
GRAPHITE LEATHER SEAT TRIM,GRAPHITE LEATHER SEAT TRIM,1
[U01] NAVIGATION PKG -INC: INFINITI HAR,[U01] NAV PKG -INC,1
[X01] INTERIOR ACCENT PKG -INC: HIGH-GL,[X01] INTERIOR ACCENT PKG -INC,1
MOONLIGHT WHITE,MOONLIGHT WHITE,1
WHEAT LEATHER SEAT TRIM,WHEAT LEATHER SEAT TRIM,1
[V01] MOBILE ENTERTAINMENT SYSTEM -INC:,[V01] MOBILE ENTERTAINMENT SYS,1
REAR SEAT AUDIO CONTROLS,REAR SEAT AUDIO CONTROLS,688
22V AERO CUSTOMER PREFERRED ORDER SELEC,22V AERO CUSTOMER PREFERRED OR,3
TUNGSTEN METALLIC,TUNGSTEN METALLIC,33
17 X 7.5 ALUMINUM PAINTED WHEELS,17 X 7.5 ALUMINUM PAINTED WHEE,15
22B SXT CUSTOMER PREFERRED ORDER SELECTI,22B SXT CUSTOMER PREFERRED ORD,2
17 X 7.5 HYPER BLACK ALUMINUM WHEEL,17 X 7.5 HYPER BLACK ALUMINUM ,3
UCONNECT 8.4N -INC: 8.4 TOUCH SCREEN,UCONNECT 8.4N -INC,7
BLUE STREAK PEARL,BLUE STREAK PEARL,4
22T RALLYE CUSTOMER PREFERRED ORDER SEL,22T RALLYE CUSTOMER PREFERRED ,1
23T RALLYE CUSTOMER PREFERRED ORDER SEL,23T RALLYE CUSTOMER PREFERRED ,1
1.6L ECOBOOST GTDI I4 ENGINE,1.6L ECOBOOST GTDI I4 ENGINE,65
18 GLOSS BLACK ALUMINUM WHEELS,18 GLOSS BLACK ALUMINUM WHEELS,7
205B EQUIPMENT GROUP ORDER CODE -INC: 1,205B EQUIPMENT GROUP ORDER COD,17
6-SPEED AUTOMATIC TRANSMISSION W/SELECTS,6-SPEED AUTOMATIC TRANSMISSION,68
ACTIVE PARK ASSIST W/FORWARD SENSING SYS,ACTIVE PARK ASSIST,8
FRONT LICENSE PLATE BRACKET,FRONT LICENSE PLATE BRACKET,1197
REVERSE SENSING SYSTEM,REVERSE SENSING SYS,35
SE MYFORD TOUCH TECHNOLOGY PKG -INC: R,SE MYFORD TOUCH TECH -INC,50
STERLING GRAY,STERLING GRAY,11
MOONROOF W/UNIVERSAL GARAGE DOOR OPENER,MOON,43
VOICE-ACTIVATED NAVIGATION SYSTEM,VOICE-ACTIVATED NAV,60
SE LUXURY DRIVER ASSIST PKG -INC: 110V,SE LUX DRIVER ASSIST PKG -INC,6
TRUNK CARGO NET,TRUNK CARGO NET,11
INGOT SILVER,INGOT SILVER,8
204A EQUIPMENT GROUP ORDER CODE -INC:,204A EQUIPMENT GROUP ORDER COD,3
204B EQUIPMENT GROUP ORDER CODE -INC:,204B EQUIPMENT GROUP ORDER COD,18
203A EQUIPMENT GROUP ORDER CODE -INC: B,203A EQUIPMENT GROUP ORDER COD,3
BORDEAUX RESERVE,BORDEAUX RESERVE,7
203B EQUIPMENT GROUP ORDER CODE -INC: B,203B EQUIPMENT GROUP ORDER COD,14
DEEP IMPACT BLUE,DEEP IMPACT BLUE,8
205A EQUIPMENT GROUP ORDER CODE -INC: 1,205A EQUIPMENT GROUP ORDER COD,11
PREMIUM FLOOR MATS,PREM FLOOR MATS,12
1.6L I4 ECOBOOST ENGINE -INC: 3.21 FINA,1.6L I4 ECOBOOST ENGINE -INC,20
18 SPARKLE NICKEL ALUMINUM WHEELS W/B,18 SPARKLE NICKEL ALUMINUM WHE,2
300A EQUIPMENT GROUP ORDER CODE -INC: B,300A EQUIPMENT GROUP ORDER COD,28
PWR PANORAMA ROOF,PWR PANORAMA ROOF,29
RUBY RED,RUBY RED,16
302A EQUIPMENT GROUP ORDER CODE -INC: T,302A EQUIPMENT GROUP ORDER COD,9
SONY MYFORD TOUCH W/NAVIGATION,SONY MYFORD TOUCH,8
18 SPARKLE NICKEL POLISHED ALUMINUM W,18 SPARKLE NICKEL POLISHED ALU,5
201A EQUIPMENT GROUP ORDER CODE -INC: C,201A EQUIPMENT GROUP ORDER COD,64
MYFORD TOUCH W/NAVIGATION -INC: SYNC TR,MYFORD TOUCH,15
PWR LIFTGATE,PWR LIFTGATE,113
STERLING GREY METALLIC,STERLING GREY METALLIC,35
MYFORD TOUCH -INC: SYNC TRAFFIC REPORTS,MYFORD TOUCH -INC,35
FROSTED GLASS METALLIC,FROSTED GLASS METALLIC,5
1.6L I4 ECOBOOST ENGINE -INC: 3.51 FINA,1.6L I4 ECOBOOST ENGINE -INC,1
1.6L I4 TI-VCT ENGINE (STD),1.6L I4 TI-VCT ENGINE (STD),42
201A EQUIPMENT GROUP ORDER CODE -INC:,201A EQUIPMENT GROUP ORDER COD,51
6-SPEED POWERSHIFT AUTOMATIC TRANSMISSIO,6-SPEED POWERSHIFT AUTOMATIC T,168
LICENSE PLATE BRACKET,LICENSE PLATE BRACKET,71
RUBY RED METALLIC,RUBY RED METALLIC,25
REAR CARPETED FLOOR MATS,REAR CARPETED FLOOR MATS,13
BLUE CANDY METALLIC,BLUE CANDY METALLIC,23
VIOLET GREY METALLIC,VIOLET GREY METALLIC,2
5-SPEED MANUAL TRANSMISSION -INC: 4.07,5-SPEED MANUAL TRANSMISSION -I,14
PWR MOONROOF,PWR MOON,370
LIME SQUEEZE METALLIC,LIME SQUEEZE METALLIC,4
RACE RED,RACE RED,53
100A EQUIPMENT GROUP ORDER CODE -INC: B,100A EQUIPMENT GROUP ORDER COD,65
MOON & MOOD PKG -INC: PWR MOONROOF 7-C,MOON & MOOD PKG -INC,1
SUPER FUEL ECONOMY PKG -INC: SIDE AIR,SUPER FUEL ECONOMY PKG -INC,3
ARCTIC WHITE INTERIOR STYLE PKG -INC: W,ARCTIC WHITE INTERIOR STYLE PK,1
RACE RED INTERIOR STYLE PKG -INC: RED &,RACE RED INTERIOR STYLE PKG -I,1
1.6L I4 TI-VCT ENGINE,1.6L I4 TI-VCT ENGINE,1
203A EQUIPMENT GROUP ORDER CODE -INC:,203A EQUIPMENT GROUP ORDER COD,1
RED CANDY METALLIC,RED CANDY METALLIC,5
WINTER PKG -INC: HEATED FRONT SEATS HE,WINTER PKG -INC,1
2.0L ECOBOOST I4 ENGINE -INC: 3.21 AXL,2.0L ECOBOOST I4 ENGINE -INC,1
6-SPEED AUTOMATIC TRANSMISSION,6-SPEED AUTOMATIC TRANSMISSION,27
FRONT LICENSE PLATE BRACKETS,FRONT LICENSE PLATE BRACKETS,119
20 7-SPOKE POLISHED ALUMINUM WHEELS,20 7-SPOKE POLISHED ALUMINUM W,13
5.4L SOHC 24-VALVE V8 FFV ENGINE (STD),5.4L SOHC 24-VALVE V8 FFV ENGI,163
6-SPEED AUTOMATIC TRANSMISSION W/OD -IN,6-SPEED AUTOMATIC TRANSMISSION,165
CHROME HOOD ACCENT,CHROME HOOD ACCENT,5
FRONT/REAR EBONY ALL WEATHER RUBBER FLOO,FRONT/REAR EBONY ALL WEATHER R,11
HD TRAILER TOW PKG -INC: REAR LOAD LEV,HD TRAILER TOW PKG -INC,11
LEATHER TRIMMED 2ND ROW 40/20/40 SPLIT B,LEATHER TRIMMED 2ND ROW 40/20/,9
POWER CODE REMOTE START SYSTEM,POWER CODE REMOTE START SYS,6
POWER RETRACTABLE RUNNING BOARDS,POWER RETRACTABLE RUNNING BOAR,216
WHITE PLATINUM TRI-COAT METALLIC,WHITE PLATINUM TRI-COAT METALL,29
HD CLASS III/IV TRAILER TOW PKG -INC:,HD CLASS III/IV TRAILER TOW PK,4
LEATHER TRIMMED HEATED 2ND ROW BUCKET SE,LEATHER TRIMMED HEATED 2ND ROW,2
MONOCHROME APPEARANCE PKG -INC: UPPER C,MONOCHROME APPEARANCE PKG -INC,9
INVISION DUAL-HEADREST DVD SYSTEM,INVISION DUAL-HEADREST DVD SYS,2
PWR CODE REMOTE START SYSTEM,PWR CODE REMOTE START SYS,4
MIDNIGHT SAPPHIRE METALLIC,MIDNIGHT SAPPHIRE METALLIC,1
2.5L I4 DURATEC ENGINE -INC: 3.51 FINAL,2.5L I4 DURATEC ENGINE -INC,4
SYNC VOICE-ACTIVATED COMMUNICATIONS & EN,SYNC VOICE-ACTIVATED COMMUNICA,18
2.5L I-VCT I4 ENGINE (STD),2.5L I-VCT I4 ENGINE (STD),13
3.5L DOHC 24-VALVE V6 DURATEC ENGINE (S,3.5L DOHC 24-VALVE V6 DURATEC ,2
6-SPEED SELECTSHIFT AUTOMATIC TRANSMISSI,6-SPEED SELECTSHIFT AUTOMATIC ,204
CRYSTAL CHAMPAGNE METALLIC TRI-COAT,CRYSTAL CHAMPAGNE METALLIC TRI,2
MOONROOF,MOON,2
SPORT APPEARANCE PKG -INC: SPORT TUNED,SPT APPEARANCE PKG -INC,2
3.5L TI-VCT V6 ENGINE (STD),3.5L TI-VCT V6 ENGINE (STD),122
ALL-WEATHER FLOOR MATS,ALL-WEATHER FLOOR MATS,16
ROOF RACK SIDE RAILS,ROOF RACK SIDE RAILS,48
WHITE SUEDE,WHITE SUEDE,12
DEEP IMPACT BLUE METALLIC,DEEP IMPACT BLUE METALLIC,20
BLACK ROOF RACK SIDE RAILS,BLACK ROOF RACK SIDE RAILS,3
INFLATABLE 2ND ROW SEAT BELTS,INFLATABLE 2ND ROW SEAT BELTS,18
3.5L TI-VCT V6 ENGINE -INC: 3.39 AXLE R,3.5L TI-VCT V6 ENGINE -INC,28
SIRIUS SATELLITE RADIO W/6-MONTH SUBSCRI,SIRIUS SATELLITE RADIO,10
SYNC W/MYFORD VOICE-ACTIVATED COMMUNICAT,SYNC,6
RUBY RED METALLIC TINTED CLEARCOAT,RUBY RED METALLIC TINTED CLEAR,150
3.5L TI-VCT V6 FFV ENGINE (STD),3.5L TI-VCT V6 FFV ENGINE (STD,26
3.7L TI-VCT V6 ENGINE (STD),3.7L TI-VCT V6 ENGINE (STD),30
ADAPTIVE CRUISE CONTROL W/COLLISION WARN,ADAPTIVE CRUISE CONTROL,5
SMOKED QUARTZ TINTED METALLIC,SMOKED QUARTZ TINTED METALLIC,3
PANORAMIC ROOF,PANORAMIC ROOF,572
WOOD PKG -INC: WOOD APPLIQUE ON INSTRUM,WOOD PKG -INC,18
RED RUBY TINTED METALLIC,RED RUBY TINTED METALLIC,2
100A EQUIPMENT GROUP ORDER CODE -INC: S,100A EQUIPMENT GROUP ORDER COD,2
2.0L GDI I4 FLEX FUEL ENGINE (STD),2.0L GDI I4 FLEX FUEL ENGINE (,76
5-SPEED MANUAL TRANSMISSION (STD),5-SPEED MANUAL TRANSMISSION (S,28
SYNC VOICE ACTIVATED COMMUNICATIONS & E,SYNC VOICE ACTIVATED COMMUNICA,5
101A EQUIPMENT GROUP ORDER CODE -INC: 1,101A EQUIPMENT GROUP ORDER COD,4
20 POLISHED ALUMINUM WHEELS -INC: P2,20 POLISHED ALUMINUM WHEELS -I,3
CLASS II TRAILER TOW PKG -INC: 3 500 LB,CLASS II TRAILER TOW PKG -INC,7
VOICE ACTIVATED NAVIGATION SYSTEM -INC:,VOICE ACTIVATED NAV -INC,21
20 CHROME-CLAD ALUMINUM WHEELS -INC:,20 CHROME-CLAD ALUMINUM WHEELS,87
CRYSTAL CHAMPAGNE TRI-COAT,CRYSTAL CHAMPAGNE TRI-COAT,2
101A EQUIPMENT GROUP ORDER CODE -INC: B,101A EQUIPMENT GROUP ORDER COD,3
20 PREMIUM PAINTED WHEELS W/CHROME IN,20 PREM PAINTED WHEELS,1
DUAL PANEL MOONROOF -INC: SLIDING FRONT,DUAL PANEL MOON -INC,5
101A EQUIPMENT GROUP ORDER CODE -INC: E,101A EQUIPMENT GROUP ORDER COD,26
101A EQUIPMENT GROUP ORDER CODE -INC: U,101A EQUIPMENT GROUP ORDER COD,1
102A EQUIPMENT GROUP ORDER CODE -INC: 1,102A EQUIPMENT GROUP ORDER COD,13
ADAPTIVE CRUISE CONTROL -INC: COLLISION,ADAPTIVE CRUISE CONTROL -INC,16
CARGO ACCESSORY PKG -INC: CARGO AREA PR,CARGO ACCESSORY PKG -INC,1
SMOKE QUARTZ TINTED METALLIC,SMOKE QUARTZ TINTED METALLIC,2
ALL WEATHER RUBBER FLOOR MATS,ALL WEATHER RUBBER FLOOR MATS,112
102A EQUIPMENT GROUP ORDER CODE -INC: A,102A EQUIPMENT GROUP ORDER COD,1
102A EQUIPMENT GROUP ORDER CODE -INC: F,102A EQUIPMENT GROUP ORDER COD,1
LOCKING/LIMITED SLIP DIFFERENTIAL,LOCKING/LIM SLIP DIFFERENTIAL,1486
107-KW ELECTRIC MOTOR (STD),107-KW ELECTRIC MOTOR (STD),2
1-SPEED AUTOMATIC TRANSMISSION (STD),1-SPEED AUTOMATIC TRANSMISSION,2
300A EQUIPMENT GROUP ORDER CODE -INC: S,300A EQUIPMENT GROUP ORDER COD,32
WHITE PLATINUM METALLIC TRICOAT,WHITE PLATINUM METALLIC TRICOA,11
ELECTRIC MOTOR,ELECTRIC MOTOR,4
115V PWR OUTLET,115V PWR OUTLET,4
ACTIVE MULTI-CONTOUR DRIVER SEAT,ACTIVE MULTI-CONTOUR DRIVER SE,5
BLACK LEATHER SEAT TRIM,BLACK LEATHER SEAT TRIM,5
CHROME DOOR HANDLE INSERTS,CHROME DOOR HANDLE INSERTS,2
HEATED & ACTIVE-VENTILATED FRONT SEATS,HEATED & ACTIVE-VENTILATED FRO,1
ILLUMINATED DOOR SILLS,ILLUMINATED DOOR SILLS,15
LANE TRACKING PKG -INC: BLIND SPOT ASSI,LANE TRACKING PKG -INC,58
PREMIUM 2 PKG -INC: COMAND HARD DRIVE N,PREM 2 PKG -INC,12
PWR TILT/SLIDE PANORAMA SUNROOF -INC: 1,PWR TILT/SLIDE PANORAMA SUN -I,6
WOOD & LEATHER-WRAPPED STEERING WHEEL,WOOD & LEATHER-WRAPPED STEERIN,2
PARKTRONIC W/PARKING GUIDANCE,PARKTRONIC,15
PREMIUM 2 PKG -INC: COMAND SYSTEM HARD,PREM 2 PKG -INC,7
REAR TRUNKLID SPOILER,REAR TRUNKLID SPOILER,29
SPLIT-FOLDING REAR SEATS,SPLIT-FOLDING REAR SEATS,19
WHEEL PKG -INC: 18 AMG TWIN 5-SPOKE,WHEEL PKG -INC,3
1300-WATT BANG & OLUFSEN ADVANCED SOUND,1300-WATT BANG & OLUFSEN ADVAN,1
20 SPORT PKG -INC: 20 10-SPOKE ANT,20 SPT PKG -INC,1
FINE GRAIN ASH NATURAL BROWN WOOD INLAYS,FINE GRAIN ASH NATURAL BROWN W,3
FRONT LICENSE PLATE HOLDER,FRONT LICENSE PLATE HOLDER,149
PHANTOM BLACK PEARL,PHANTOM BLACK PEARL,7
PRESTIGE PKG -INC: 18 5-V-SPOKE ALLO,PRESTIGE PKG -INC,1
14-WAY ELECTRIC SPORT SEATS W/MEMORY PAC,14-WAY ELECTRIC SPT SEATS,2
BASALT BLACK METALLIC,BASALT BLACK METALLIC,2
BI-XENON LIGHTING SYSTEM -INC: PORSCHE,BI-XENON LIGHTING SYS -INC,2
BLACK PARTIAL LEATHER SEAT TRIM,BLACK PARTIAL LEATHER SEAT TRI,3
PREMIUM PACKAGE W/SPORT SEATS -INC: AUT,PREM PKG,2
TRANSMISSION: 7-SPEED PORSCHE DOPPELKUPP,TRANSMISSION,2
WHEELS: 8J X 19 FR & 9.5J X 19 RR B,WHEELS,1
POWER STEERING PLUS -INC: SPEED-SENSITI,POWER STEERING + -INC,1
